7,VLAN_0_Flow_0,ATS,node1,node0,100,10000,15000,
5,VLAN_0_Flow_1,ATS,node1,node0,100,10000,15000,
3,VLAN_0_Flow_2,ATS,node1,node0,100,10000,15000,
1,VLAN_0_Flow_3,ATS,node1,node0,100,10000,15000,
7,VLAN_0_Flow_4,ATS,node2,node0,100,12000,18000,
5,VLAN_0_Flow_5,ATS,node2,node0,100,12000,18000,
3,VLAN_0_Flow_6,ATS,node2,node0,100,12000,18000,
1,VLAN_0_Flow_7,ATS,node2,node0,100,12000,18000,
7,VLAN_0_Flow_8,ATS,node3,node0,100,15000,20000,
5,VLAN_0_Flow_9,ATS,node3,node0,100,15000,20000,
3,VLAN_0_Flow_10,ATS,node3,node0,100,15000,20000,
1,VLAN_0_Flow_11,ATS,node3,node0,100,15000,20000,
