7,Stream_1,ats,ES_1,ES_8,974,1000,5167
5,Stream_2,ats,ES_2,ES_12,858,1000,8002
1,Stream_3,ats,ES_3,ES_7,906,500,9748
3,Stream_4,ats,ES_4,ES_27,734,1000,14665
4,Stream_5,ats,ES_5,ES_28,961,1000,3643
1,Stream_6,ats,ES_6,ES_15,837,1000,4122
2,Stream_7,ats,ES_7,ES_28,865,2000,15167
5,Stream_8,ats,ES_8,ES_15,674,500,12161
7,Stream_9,ats,ES_9,ES_2,835,1000,14508
3,Stream_10,ats,ES_10,ES_24,821,1000,11538
1,Stream_11,ats,ES_11,ES_6,561,1000,6985
2,Stream_12,ats,ES_12,ES_19,713,500,16391
2,Stream_13,ats,ES_13,ES_27,822,2000,13023
0,Stream_14,ats,ES_14,ES_30,861,1000,5716
6,Stream_15,ats,ES_15,ES_25,684,1000,17534
7,Stream_16,ats,ES_16,ES_14,685,500,7195
4,Stream_17,ats,ES_17,ES_7,646,2000,14842
1,Stream_18,ats,ES_18,ES_16,562,500,9942
5,Stream_19,ats,ES_19,ES_4,904,2000,8561
6,Stream_20,ats,ES_20,ES_12,518,500,1809
2,Stream_21,ats,ES_21,ES_4,915,1000,14303
5,Stream_22,ats,ES_22,ES_15,930,500,6725
0,Stream_23,ats,ES_23,ES_29,722,500,7941
4,Stream_24,ats,ES_24,ES_6,586,2000,8853
0,Stream_25,ats,ES_25,ES_3,675,1000,18348
1,Stream_26,ats,ES_26,ES_9,683,1000,18143
1,Stream_27,ats,ES_27,ES_16,972,2000,9872
6,Stream_28,ats,ES_28,ES_5,827,1000,12906
7,Stream_29,ats,ES_29,ES_6,956,1000,10632
4,Stream_30,ats,ES_30,ES_24,610,500,5682
