4,Stream_1,ats,ES_1,ES_17,817,500,4405
2,Stream_2,ats,ES_2,ES_26,872,500,10723
0,Stream_3,ats,ES_3,ES_11,991,1000,2280
4,Stream_4,ats,ES_4,ES_29,720,2000,6580
6,Stream_5,ats,ES_5,ES_8,994,2000,3286
2,Stream_6,ats,ES_6,ES_30,998,1000,9258
7,Stream_7,ats,ES_7,ES_9,946,500,11328
4,Stream_8,ats,ES_8,ES_12,860,1000,16160
4,Stream_9,ats,ES_9,ES_3,746,1000,17408
1,Stream_10,ats,ES_10,ES_27,792,1000,19112
2,Stream_11,ats,ES_11,ES_3,660,500,4847
3,Stream_12,ats,ES_12,ES_29,879,1000,4978
0,Stream_13,ats,ES_13,ES_16,947,500,13997
1,Stream_14,ats,ES_14,ES_19,701,1000,11449
3,Stream_15,ats,ES_15,ES_3,626,2000,7119
4,Stream_16,ats,ES_16,ES_13,714,1000,10739
7,Stream_17,ats,ES_17,ES_19,703,500,12642
2,Stream_18,ats,ES_18,ES_21,647,1000,14292
4,Stream_19,ats,ES_19,ES_17,561,1000,4934
3,Stream_20,ats,ES_20,ES_10,997,1000,16305
7,Stream_21,ats,ES_21,ES_27,824,500,9362
6,Stream_22,ats,ES_22,ES_24,940,2000,16942
4,Stream_23,ats,ES_23,ES_26,548,1000,19618
5,Stream_24,ats,ES_24,ES_23,806,1000,3118
5,Stream_25,ats,ES_25,ES_20,838,2000,16599
2,Stream_26,ats,ES_26,ES_30,702,1000,2955
5,Stream_27,ats,ES_27,ES_4,877,1000,15407
5,Stream_28,ats,ES_28,ES_27,851,2000,14193
4,Stream_29,ats,ES_29,ES_2,797,1000,10061
4,Stream_30,ats,ES_30,ES_27,703,500,4348
