7,Stream_1,ats,ES_1,ES_12,769,1000,17410
1,Stream_2,ats,ES_2,ES_27,671,1000,19028
1,Stream_3,ats,ES_3,ES_10,542,2000,18485
7,Stream_4,ats,ES_4,ES_3,782,500,9101
0,Stream_5,ats,ES_5,ES_12,948,500,19260
3,Stream_6,ats,ES_6,ES_18,652,1000,13434
7,Stream_7,ats,ES_7,ES_9,894,1000,7069
3,Stream_8,ats,ES_8,ES_6,767,500,13771
1,Stream_9,ats,ES_9,ES_4,829,1000,4218
6,Stream_10,ats,ES_10,ES_15,883,2000,2735
3,Stream_11,ats,ES_11,ES_6,821,2000,19112
6,Stream_12,ats,ES_12,ES_4,536,1000,4829
5,Stream_13,ats,ES_13,ES_25,962,1000,9911
1,Stream_14,ats,ES_14,ES_13,772,500,15612
4,Stream_15,ats,ES_15,ES_19,646,2000,10831
1,Stream_16,ats,ES_16,ES_26,923,2000,10326
7,Stream_17,ats,ES_17,ES_10,823,2000,9463
3,Stream_18,ats,ES_18,ES_28,897,1000,13010
4,Stream_19,ats,ES_19,ES_1,902,1000,6451
7,Stream_20,ats,ES_20,ES_17,719,1000,18802
2,Stream_21,ats,ES_21,ES_11,896,1000,10385
5,Stream_22,ats,ES_22,ES_28,964,1000,8216
6,Stream_23,ats,ES_23,ES_20,686,1000,15365
0,Stream_24,ats,ES_24,ES_9,552,2000,13371
5,Stream_25,ats,ES_25,ES_14,937,2000,7809
1,Stream_26,ats,ES_26,ES_13,727,500,15248
7,Stream_27,ats,ES_27,ES_16,593,500,8476
2,Stream_28,ats,ES_28,ES_2,725,500,19871
7,Stream_29,ats,ES_29,ES_23,997,1000,12423
1,Stream_30,ats,ES_30,ES_23,604,2000,7337
